t_s,Tf_K
1056.87597118,383.05997205
1069.12633917,383.05817221
1081.51870255,383.05641711
1094.05470721,383.05470591
1106.73601810,383.05303781
1119.56431948,383.05141199
1132.54131515,383.04982765
1145.66872863,383.04828399
1158.94830344,383.04678023
1172.38180329,383.04531559
1185.97101234,383.04388930
1199.71773544,383.04250059
1213.62379834,383.04114872
1227.69104799,383.03983294
1241.92135270,383.03855250
1256.31660247,383.03730669
1270.87870920,383.03609478
1285.60960694,383.03491606
1300.51125217,383.03376983
1315.58562405,383.03265539
1330.83472465,383.03157207
1346.26057930,383.03051917
1361.86523676,383.02949604
1377.65076955,383.02850202
1393.61927422,383.02753646
1409.77287163,383.02659872
1426.11370719,383.02568816
1442.64395122,383.02480417
1459.36579916,383.02394613
1476.28147191,383.02311344
1493.39321612,383.02230550
1510.70330449,383.02152174
1528.21403603,383.02076156
1545.92773642,383.02002441
1563.84675830,383.01930972
1581.97348158,383.01861695
1600.31031374,383.01794555
1618.85969018,383.01729500
1637.62407452,383.01666477
1656.60595895,383.01605434
1675.80786453,383.01546322
1695.23234155,383.01489091
1714.88196987,383.01433693
1734.75935923,383.01380078
1754.86714965,383.01328201
1775.20801172,383.01278015
1795.78464700,383.01229476
1816.59978838,383.01182539
1837.65620039,383.01137160
1858.95667964,383.01093297
1880.50405513,383.01050908
1902.30118867,383.01009952
1924.35097523,383.00970389
1946.65634334,383.00932180
1969.22025548,383.00895287
1992.04570845,383.00859671
2015.13573382,383.00825296
2038.49339825,383.00792126
2062.12180400,383.00760125
2086.02408925,383.00729260
2110.20342857,383.00699495
2134.66303332,383.00670799
2159.40615210,383.00643140
2184.43607115,383.00616484
2209.75611480,383.00590803
2235.36964591,383.00566066
2261.28006634,383.00542243
2287.49081736,383.00519306
2314.00538013,383.00497227
2340.82727618,383.00475978
2367.96006783,383.00455534
2395.40735872,383.00435868
2423.17279424,383.00416956
2451.26006203,383.00398771
2479.67289250,383.00381292
2508.41505928,383.00364493
2537.49037973,383.00348353
2566.90271549,383.00332849
2596.65597293,383.00317960
2626.75410372,383.00303664
2657.20110532,383.00289943
2688.00102154,383.00276774
2719.15794304,383.00264140
2750.67600791,383.00252022
2782.55940221,383.00240401
2814.81236051,383.00229260
2847.43916647,383.00218581
2880.44415340,383.00208348
2913.83170483,383.00198545
2947.60625512,383.00189157
2981.77229002,383.00180167
3016.33434726,383.00171561
3051.29701718,383.00163324
3086.66494334,383.00155444
3122.44282309,383.00147906
3158.63540827,383.00140698
3195.24750576,383.00133806
3232.28397818,383.00127219
3269.74974451,383.00120925
3307.64978074,383.00114912
3345.98912055,383.00109169
3384.77285595,383.00103686
3424.00613797,383.00098453
3463.69417737,383.00093458
3503.84224529,383.00088693
3544.45567397,383.00084149
3585.53985746,383.00079815
3627.10025233,383.00075685
3669.14237840,383.00071748
3711.67181948,383.00067998
3754.69422407,383.00064426
3798.21530619,383.00061024
3842.24084606,383.00057786
3886.77669089,383.00054705
3931.82875571,383.00051773
3977.40302406,383.00048985
4023.50554887,383.00046334
4070.14245322,383.00043813
4117.31993116,383.00041418
4165.04424855,383.00039143
4213.32174385,383.00036982
4262.15882902,383.00034930
4311.56199032,383.00032982
4361.53778921,383.00031134
4412.09286319,383.00029380
4463.23392671,383.00027718
4514.96777204,383.00026141
4567.30127017,383.00024647
