t_s,Tf_K
2357.06941400,373.24819159
2389.89256623,373.24152198
2423.17279424,373.23498812
2456.91646298,373.22858845
2491.13002607,373.22232141
2525.82002696,373.21618542
2560.99310026,373.21017890
2596.65597293,373.20430025
2632.81546565,373.19854787
2669.47849403,373.19292015
2706.65207003,373.18741547
2744.34330323,373.18203222
2782.55940221,373.17676876
2821.30767594,373.17162347
2860.59553518,373.16659471
2900.43049386,373.16168084
2940.82017059,373.15688023
2981.77229002,373.15219122
3023.29468441,373.14761218
3065.39529506,373.14314145
3108.08217387,373.13877740
3151.36348487,373.13451838
3195.24750576,373.13036274
3239.74262953,373.12630885
3284.85736603,373.12235506
3330.60034362,373.11849974
3376.98031083,373.11474125
3424.00613797,373.11107798
3471.68681893,373.10750829
3520.03147280,373.10403056
3569.04934568,373.10064319
3618.74981241,373.09734457
3669.14237840,373.09413309
3720.23668141,373.09100718
3772.04249342,373.08796524
3824.56972247,373.08500571
3877.82841459,373.08212701
3931.82875571,373.07932759
3986.58107358,373.07660592
4042.09583980,373.07396044
4098.38367176,373.07138965
4155.45533472,373.06889202
4213.32174385,373.06646606
4271.99396631,373.06411028
4331.48322338,373.06182321
4391.80089260,373.05960339
4452.95850994,373.05744936
4514.96777204,373.05535970
4577.84053838,373.05333299
4641.58883361,373.05136782
4706.22484984,373.04946280
4771.76094894,373.04761656
4838.20966493,373.04582774
4905.58370637,373.04409501
4973.89595879,373.04241702
5043.15948717,373.04079249
5113.38753841,373.03922010
5184.59354389,373.03769859
5256.79112202,373.03622670
5329.99408084,373.03480319
5404.21642071,373.03342684
5479.47233690,373.03209644
5555.77622240,373.03081080
5633.14267060,373.02956875
5711.58647813,373.02836915
5791.12264764,373.02721086
5871.76639073,373.02609277
5953.53313081,373.02501377
6036.43850608,373.02397281
6120.49837248,373.02296880
6205.72880678,373.02200073
6292.14610961,373.02106756
6379.76680861,373.02016830
6468.60766155,373.01930196
6558.68565957,373.01846757
6650.01803043,373.01766420
6742.62224178,373.01689091
6836.51600451,373.01614679
6931.71727616,373.01543097
7028.24426431,373.01474256
7126.11543011,373.01408071
7225.34949179,373.01344460
7325.96542822,373.01283339
7427.98248256,373.01224631
7531.42016597,373.01168256
7636.29826128,373.01114138
7742.63682681,373.01062204
7850.45620020,373.01012380
7959.77700231,373.00964596
8070.62014115,373.00918783
8183.00681587,373.00874872
8296.95852083,373.00832799
8412.49704974,373.00792500
8529.64449974,373.00753911
8648.42327573,373.00716973
8768.85609459,373.00681626
8890.96598953,373.00647813
9014.77631452,373.00615477
9140.31074876,373.00584565
9267.59330115,373.00555023
9396.64831495,373.00526801
9527.50047243,373.00499847
9660.17479952,373.00474115
9794.69667070,373.00449556
9931.09181375,373.00426126
10069.38631476,373.00403780
10209.60662306,373.00382475
10351.77955630,373.00362170
10495.93230558,373.00342824
10642.09244065,373.00324399
10790.28791516,373.00306858
10940.54707206,373.00290163
11092.89864895,373.00274280
11247.37178365,373.00259174
11403.99601970,373.00244812
11562.80131207,373.00231163
11723.81803287,373.00218197
11887.07697712,373.00205883
12052.60936871,373.00194193
12220.44686631,373.00183100
12390.62156948,373.00172576
12563.16602474,373.00162597
12738.11323186,373.00153138
12915.49665015,373.00144175
13095.35020483,373.00135685
13277.70829355,373.00127647
13462.60579299,373.00120039
13650.07806546,373.00112841
13840.16096573,373.00106033
14032.89084786,373.00099598
14228.30457214,373.00093517
14426.43951218,373.00087772
14627.33356201,373.00082348
14831.02514336,373.00077228
15037.55321300,373.00072398
15246.95727018,373.00067843
15459.27736419,373.00063548
15674.55410206,373.00059501
15892.82865623,373.00055689
16114.14277253,373.00052100
16338.53877810,373.00048722
16566.05958950,373.00045544
16796.74872093,373.00042555
17030.65029253,373.00039746
17267.80903884,373.00037107
17508.27031736,373.00034628
17752.08011718,373.00032301
17999.28506782,373.00030117
18249.93244816,373.00028069
18504.07019542,373.00026149
18761.74691439,373.00024349
19023.01188669,373.00022664
19287.91508021,373.00021085
19556.50715866,373.00019608
19828.83949127,373.00018226
20104.96416260,373.00016934
20384.93398252,373.00015726
20668.80249629,373.00014598
20956.62399480,373.00013545
21248.45352499,373.00012562
21544.34690032,373.00011644
21844.36071149,373.00010789
22148.55233726,373.00009992
22456.97995540,373.00009249
22769.70255382,373.00008558
23086.77994187,373.00007914
23408.27276178,373.00007315
23734.24250024,373.00006759
24064.75150015,373.00006241
24399.86297260,373.00005761
24739.64100887,373.00005315
25084.15059278,373.00004901
25433.45761305,373.00004517
25787.62887594,373.00004161
26146.73211801,373.00003831
26510.83601909,373.00003525
26880.01021538,373.00003243
27254.32531281,373.00002981
