t_s,Tf_K
2880.44415340,383.00213910
2913.83170483,383.00203811
2947.60625512,383.00194140
2981.77229002,383.00184882
3016.33434726,383.00176021
3051.29701718,383.00167543
3086.66494334,383.00159433
3122.44282309,383.00151677
3158.63540827,383.00144261
3195.24750576,383.00137172
3232.28397818,383.00130399
3269.74974451,383.00123927
3307.64978074,383.00117746
3345.98912055,383.00111844
3384.77285595,383.00106210
3424.00613797,383.00100833
3463.69417737,383.00095703
3503.84224529,383.00090810
3544.45567397,383.00086144
3585.53985746,383.00081695
3627.10025233,383.00077456
3669.14237840,383.00073416
3711.67181948,383.00069568
3754.69422407,383.00065904
3798.21530619,383.00062415
3842.24084606,383.00059095
3886.77669089,383.00055935
3931.82875571,383.00052930
3977.40302406,383.00050072
4023.50554887,383.00047355
4070.14245322,383.00044773
4117.31993116,383.00042319
4165.04424855,383.00039989
4213.32174385,383.00037776
4262.15882902,383.00035675
4311.56199032,383.00033681
4361.53778921,383.00031789
4412.09286319,383.00029995
4463.23392671,383.00028294
4514.96777204,383.00026681
4567.30127017,383.00025152
4620.24137175,383.00023705
4673.79510799,383.00022333
4727.96959160,383.00021035
4782.77201773,383.00019806
4838.20966493,383.00018643
4894.28989611,383.00017543
4951.02015956,383.00016503
5008.40798985,383.00015520
5066.46100892,383.00014591
5125.18692705,383.00013713
5184.59354389,383.00012884
5244.68874950,383.00012101
5305.48052537,383.00011362
5366.97694554,383.00010665
5429.18617762,383.00010008
5492.11648389,383.00009388
5555.77622240,383.00008803
5620.17384808,383.00008252
5685.31791387,383.00007733
5751.21707184,383.00007245
5817.88007434,383.00006785
5885.31577519,383.00006352
5953.53313081,383.00005945
6022.54120146,383.00005562
6092.34915240,383.00005202
6162.96625513,383.00004863
6234.40188863,383.00004545
6306.66554057,383.00004247
6379.76680861,383.00003966
6453.71540165,383.00003703
6528.52114113,383.00003456
6604.19396233,383.00003225
6680.74391570,383.00003008
6758.18116816,383.00002804
6836.51600451,383.00002614
6915.75882874,383.00002435
6995.92016544,383.00002268
7077.01066118,383.00002112
7159.04108596,383.00001965
7242.02233461,383.00001829
7325.96542822,383.00001701
7410.88151564,383.00001581
7496.78187497,383.00001469
7583.67791500,383.00001365
7671.58117678,383.00001268
7760.50333513,383.00001177
7850.45620020,383.00001092
7941.45171903,383.00001013
8033.50197712,383.00000939
8126.61920009,383.00000871
8220.81575524,383.00000807
8316.10415323,383.00000747
8412.49704974,383.00000692
8510.00724712,383.00000640
8608.64769615,383.00000592
8708.43149769,383.00000548
8809.37190447,383.00000506
8911.48232284,383.00000468
9014.77631452,383.00000432
9119.26759846,383.00000399
9224.97005259,383.00000368
9331.89771573,383.00000340
9440.06478942,383.00000313
9549.48563979,383.00000289
9660.17479952,383.00000266
9772.14696973,383.00000245
9885.41702192,383.00000226
10000.00000000,383.00000208
